The lobster knuckles special of the day were , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
'A' lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but 'fair' tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day had ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
'A' lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles decent of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special part the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles decent of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but 'fair' tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the night were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but 'fair' tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles sale of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of 'a' day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
It lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special on the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day Seemed ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but Somewhat tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the morning were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but  quite tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
This lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of 'a' day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the afternoon were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special special of the day the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles feature of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the morning were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
WORST PLACE ON JOHNSON STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON JOHN STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET On BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET ON BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE IN SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN MANHATTAN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN MANHATTAN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH Avenue IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON MILTON STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH Avenue IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BRONX####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON MITCHELL STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH AVENUE IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN MANHATTAN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE AT SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN QUEENS####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET 'AT' BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET On BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET On BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH AVENUE IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH AVENUE IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN MANHATTAN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET ON BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN MANHATTAN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON JOHNSON STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE In SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE AT SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET On BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
WORST PLACE ON SMITH STREET IN BROOKLYN####[['PLACE', 'restaurant general', 'negative', 'WORST']]
